global_product_name,status,request_timestamp_local,begintrip_timestamp_local,dropoff_timestamp_local,trip_distance_miles,trip_duration_seconds,base_fare_local,original_fare_local,cancellation_fee_local
UberX,rider_canceled,2024-08-01T16:15:55.000Z,,,0.0,0.0,,0.0,0.0
UberX,completed,2024-08-01T16:52:41.000Z,2024-08-01T16:57:12.000Z,2024-08-01T17:00:21.000Z,0.4601238405127276,189.0,5.04,10.0,0.0
UberX,completed,2024-08-01T17:01:01.000Z,2024-08-01T17:02:56.000Z,2024-08-01T17:12:37.000Z,3.2583474363944016,581.0,5.04,14.32,0.0
UberX,completed,2024-08-01T17:37:27.000Z,2024-08-01T17:41:41.000Z,2024-08-01T17:47:59.000Z,1.9942243285190504,378.0,5.04,10.22,0.0
UberX,completed,2024-08-01T17:50:25.000Z,2024-08-01T17:53:17.000Z,2024-08-01T18:16:31.000Z,10.92708335,1394.0,5.04,49.14,0.0
UberX,completed,2024-08-01T19:10:13.000Z,2024-08-01T19:15:43.000Z,2024-08-01T19:26:43.000Z,3.239215427445361,638.0,5.04,13.14,0.0
UberX,completed,2024-08-02T07:13:48.000Z,2024-08-02T07:18:55.000Z,2024-08-02T07:30:40.000Z,3.552203342396384,705.0,5.04,15.03,0.0
UberX,completed,2024-08-02T07:30:51.000Z,2024-08-02T07:38:48.000Z,2024-08-02T07:48:35.000Z,3.1999186131916666,587.0,5.04,13.19,0.0
UberX,completed,2024-08-02T07:45:12.000Z,2024-08-02T07:53:52.000Z,2024-08-02T08:02:44.000Z,2.4227701905834818,532.0,5.04,11.14,0.0
UberX,completed,2024-08-02T08:32:21.000Z,2024-08-02T08:37:44.000Z,2024-08-02T08:50:34.000Z,4.036203690597396,770.0,5.04,12.94,0.0
UberX,completed,2024-08-02T10:03:55.000Z,2024-08-02T10:18:01.000Z,2024-08-02T10:28:24.000Z,3.7689641735959354,601.0,5.04,14.46,0.0
UberX,completed,2024-08-02T10:30:50.000Z,2024-08-02T10:37:01.000Z,2024-08-02T10:47:24.000Z,2.857667327,623.0,5.04,12.95,0.0
UberX,completed,2024-08-02T10:50:17.000Z,2024-08-02T11:01:06.000Z,2024-08-02T11:13:05.000Z,3.0902431956392604,706.0,5.04,13.95,0.0
UberX,completed,2024-08-02T12:31:49.000Z,2024-08-02T12:35:37.000Z,2024-08-02T12:43:33.000Z,1.8120496629163985,476.0,5.04,10.7,0.0
UberX,completed,2024-08-02T16:18:46.000Z,2024-08-02T16:32:53.000Z,2024-08-02T16:46:08.000Z,4.388964324343635,795.0,5.04,16.86,0.0
UberX,completed,2024-08-02T16:44:19.000Z,2024-08-02T16:48:03.000Z,2024-08-02T16:58:21.000Z,2.1897915668729384,603.0,5.04,12.54,0.0
UberX,completed,2024-08-02T17:04:44.000Z,2024-08-02T17:10:58.000Z,2024-08-02T17:33:48.000Z,7.395351481456928,1311.0,5.04,29.0,0.0
UberX,completed,2024-08-02T18:13:37.000Z,2024-08-02T18:19:39.000Z,2024-08-02T18:32:58.000Z,3.075868805384319,776.0,5.04,14.95,0.0
UberX,completed,2024-08-02T18:34:21.000Z,2024-08-02T18:39:12.000Z,2024-08-02T18:50:06.000Z,2.8281463159786844,654.0,5.04,12.53,0.0
UberX,completed,2024-08-02T18:49:00.000Z,2024-08-02T18:57:01.000Z,2024-08-02T19:05:14.000Z,3.3627449832964644,483.0,5.04,13.93,0.0
UberX,completed,2024-08-02T19:24:34.000Z,2024-08-02T19:26:03.000Z,2024-08-02T19:35:20.000Z,2.469510989435149,557.0,5.04,11.71,0.0
UberX,completed,2024-08-02T19:36:10.000Z,2024-08-02T19:42:07.000Z,2024-08-02T19:46:30.000Z,0.6598955097341773,263.0,5.04,10.0,0.0
UberX,completed,2024-08-02T20:07:38.000Z,2024-08-02T20:12:06.000Z,2024-08-02T20:22:49.000Z,3.0237936599902704,643.0,5.04,13.22,0.0
UberX,completed,2024-08-02T20:24:44.000Z,2024-08-02T20:40:26.000Z,2024-08-02T20:51:51.000Z,4.710991167036501,685.0,5.04,21.9,0.0
UberX,completed,2024-08-02T21:36:53.000Z,2024-08-02T21:45:17.000Z,2024-08-02T21:53:54.000Z,3.668463079912654,517.0,5.04,13.92,0.0
UberX,completed,2024-08-02T22:28:53.000Z,2024-08-02T22:39:01.000Z,2024-08-02T22:49:04.000Z,4.472799109086915,603.0,5.04,15.66,0.0
